IRO_INSTITUTION,PERSON_UID,ID_NUMBER,AGE,CITIZENSHIP_DESC,ETHNICITY,ETHNICITY_DESC,IS_WHITE,GENDER,IS_NON_BINARY,HAWAIIAN_IRO,DEGREE,DEPARTMENT,EDLVL_IRO,FT_PT_STAT,MAJOR_IRO,MAJOR_DESC_IRO,PROGRAM,PROGRAM_DESC
MAN,2093489,27448527,21,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BS,HNFA,JR,FT,ANSC,Animal Sciences,ANSC-BS,Animal Sciences-BS
MAN,2099488,27512707,20,US Citizen,CA,Caucasian or White,1,F,1,Y,BA,SLSC,JR,FT,BIOL,Biology,BIOL-BA,Biology-BA
MAN,1871510,25223698,23,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BS,PA,SR,FT,PHYS,Physics,PHYS-BS,Physics-BS
MAN,1871557,25222993,23,US Citizen,MA,Mixed Asian,0,M,1,N,BS,ICS,JR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1869117,25199468,21,US Citizen,MA,Mixed Asian,0,M,1,N,BS,MBBE,SR,FT,BENG,Biological Engineering,BENG-BS,Biological Engineering-BS
MAN,1882075,25328641,20,US Citizen,JP,Japanese,0,M,1,N,BS,SLSC,JR,FT,BIOL,Biology,BIOL-BS,Biology-BS
HIL,1888789,25394081,20,US Citizen,CA,Caucasian or White,1,M,1,N,BS,CSCI,SR,FT,CSCI,Computer Science,BS-CSCI1,Computer Science-BS
MAN,2042170,26942248,20,US Citizen,CA,Caucasian or White,1,F,1,N,BS,NSCI,JR,FT,MB,Marine Biology,MB-BS,Marine Biology-BS
HIL,2043711,26958344,19,US Citizen,CA,Caucasian or White,1,M,1,N,BS,ASTR,JR,FT,ASTR,Astronomy,BS-ASTR1,Astronomy-BS
MAN,2071846,27240028,22,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BS,SLSC,SR,FT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1788471,24398622,21,US Citizen,FI,Filipino,0,M,1,N,BS,ICS,JR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1781049,24325681,20,US Citizen,CA,Caucasian or White,1,F,1,N,BS,CHEM,SR,FT,BIOC,Biochemistry,BIOC-BS,Biochemistry-BS
MAN,1820080,24711024,20,US Citizen,HS,Hispanic,0,F,1,N,BS,SLSC,JR,FT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1827606,24786703,21,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BS,OEST,SR,FT,GES,Global Environmental Science,GES-BS,Global Environmental Sci-BS
MAN,1807693,24585241,22,US Citizen,CA,Caucasian or White,1,M,1,N,BA,SLSC,SR,FT,BIOL,Biology,BIOL-BA,Biology-BA
MAN,1822598,24736556,22,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BA,ACM,SR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1723484,23746423,23,US Citizen,OA,Other Asian,0,M,1,N,BS,SLSC,SR,FT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1741091,23923687,23,US Citizen,MA,Mixed Asian,0,M,1,N,BS,EE,SR,PT,EE,Electrical Engineering,EE-BS,Electrical Engineering-BS
MAN,1708874,23581614,22,US Citizen,MA,Mixed Asian,0,F,1,N,BS,ME,SR,FT,ME,Mechanical Engineering,ME-BS,Mechanical Engineering-BS
MAN,1732417,23838042,23,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BS,SLSC,JR,FT,BIOL,Biology,BIOL-BS,Biology-BS
